volcano_number,volcano_name,eruption_number,eruption_category,start_year,start_month,start_day,end_year,end_month,end_day,latitude,longitude
266030,Soputan,22354,Confirmed Eruption,2020.0,3.0,23.0,2020.0,4.0,2.0,1.112,124.73700000000001
343100,San Miguel,22355,Confirmed Eruption,2020.0,2.0,22.0,2020.0,2.0,22.0,13.434000000000001,-88.26899999999999
233020,"Fournaise, Piton de la",22343,Confirmed Eruption,2020.0,2.0,10.0,2020.0,4.0,6.0,-21.244,55.708
345020,Rincon de la Vieja,22346,Confirmed Eruption,2020.0,1.0,31.0,2020.0,4.0,17.0,10.83,-85.324
353010,Fernandina,22347,Confirmed Eruption,2020.0,1.0,12.0,2020.0,1.0,12.0,-0.37,-91.55
273070,Taal,22344,Confirmed Eruption,2020.0,1.0,12.0,2020.0,1.0,22.0,14.002,120.993
282050,Kuchinoerabujima,22345,Confirmed Eruption,2020.0,1.0,11.0,2020.0,4.0,17.0,30.443,130.217
241040,Whakaari/White Island,22338,Confirmed Eruption,2019.0,12.0,9.0,2019.0,12.0,9.0,-37.52,177.18
311060,Semisopochnoi,22341,Confirmed Eruption,2019.0,12.0,7.0,2020.0,3.0,15.0,51.93,179.58
284096,Nishinoshima,22340,Confirmed Eruption,2019.0,12.0,5.0,2020.0,4.0,17.0,27.247,140.874
311240,Cleveland,22342,Uncertain Eruption,2019.0,11.0,7.0,2019.0,12.0,7.0,52.825,-169.94400000000002
282060,Kikai,22339,Confirmed Eruption,2019.0,11.0,2.0,2020.0,4.0,16.0,30.793000000000003,130.305
300260,Klyuchevskoy,22335,Confirmed Eruption,2019.0,10.0,24.0,2020.0,4.0,17.0,56.056000000000004,160.642
243070,Lateiki,22334,Confirmed Eruption,2019.0,10.0,13.0,2019.0,10.0,22.0,-19.18,-174.87
283110,Asamayama,22326,Confirmed Eruption,2019.0,8.0,7.0,2019.0,8.0,25.0,36.406,138.523
357090,Copahue,22336,Confirmed Eruption,2019.0,8.0,2.0,2019.0,11.0,12.0,-37.856,-71.183
263090,Tangkuban Parahu,22325,Confirmed Eruption,2019.0,7.0,26.0,2019.0,9.0,17.0,-6.77,107.6
311360,Shishaldin,22330,Confirmed Eruption,2019.0,7.0,23.0,2020.0,4.0,9.0,54.756,-163.97
351020,"Ruiz, Nevado del",22329,Confirmed Eruption,2019.0,7.0,23.0,2020.0,4.0,13.0,4.8919999999999995,-75.324
311060,Semisopochnoi,22328,Confirmed Eruption,2019.0,7.0,16.0,2019.0,8.0,24.0,51.93,179.58
252120,Ulawun,22319,Confirmed Eruption,2019.0,6.0,26.0,2019.0,10.0,5.0,-5.05,151.33
354020,Ubinas,22324,Confirmed Eruption,2019.0,6.0,24.0,2019.0,12.0,24.0,-16.355,-70.903
290250,Raikoke,22321,Confirmed Eruption,2019.0,6.0,22.0,2019.0,7.0,1.0,48.292,153.25
233020,"Fournaise, Piton de la",22318,Confirmed Eruption,2019.0,6.0,11.0,2019.0,10.0,27.0,-21.244,55.708
311120,Great Sitkin,22322,Confirmed Eruption,2019.0,6.0,1.0,2019.0,6.0,7.0,52.076,-176.13
290240,Sarychev Peak,22320,Confirmed Eruption,2019.0,5.0,16.0,2019.0,10.0,7.0,48.092,153.2
341040,Colima,22323,Confirmed Eruption,2019.0,5.0,11.0,2019.0,7.0,12.0,19.514,-103.62
282110,Asosan,22317,Confirmed Eruption,2019.0,4.0,16.0,2020.0,4.0,17.0,32.884,131.10399999999998
300260,Klyuchevskoy,22310,Confirmed Eruption,2019.0,4.0,9.0,2019.0,7.0,2.0,56.056000000000004,160.642
352090,Sangay,22312,Confirmed Eruption,2019.0,3.0,26.0,2020.0,4.0,17.0,-2.005,-78.34100000000001
