volcano_number,volcano_name,eruption_number,event_number,event_type
210020,Chaine des Puys,10011,100001,Explosion
210020,Chaine des Puys,10011,100002,Scoria
210020,Chaine des Puys,10011,100003,Pyroclastic flow
210020,Chaine des Puys,10011,100004,Lava flow(s)
210020,Chaine des Puys,10011,100005,Cinder cone formation
210020,Chaine des Puys,10011,100006,Pumice
210040,Calatrava Volcanic Field,10012,100008,Explosion
210040,Calatrava Volcanic Field,10012,100009,Pyroclastic flow
211003,Vulsini,10014,100019,Flames
211004,Colli Albani,10015,100021,Phreatic activity
211010,Campi Flegrei,10018,100025,Explosion
211010,Campi Flegrei,10018,100026,Pyroclastic flow
211010,Campi Flegrei,10018,100027,Pumice
211010,Campi Flegrei,10019,100030,Explosion
211010,Campi Flegrei,10019,100031,Ash
211010,Campi Flegrei,10019,100032,Lapilli
211010,Campi Flegrei,10019,100033,Pyroclastic flow
211010,Campi Flegrei,10019,100034,Pumice
211010,Campi Flegrei,10025,100036,Explosion
211010,Campi Flegrei,10025,100037,Ash
211010,Campi Flegrei,10025,100038,Lapilli
211010,Campi Flegrei,10025,100039,Pyroclastic flow
211010,Campi Flegrei,10026,100041,Explosion
211010,Campi Flegrei,10026,100042,Ash
211010,Campi Flegrei,10026,100043,Pyroclastic flow
211010,Campi Flegrei,10026,100044,Pumice
211010,Campi Flegrei,10027,100046,Explosion
211010,Campi Flegrei,10027,100047,Ash
211010,Campi Flegrei,10027,100048,Lapilli
211010,Campi Flegrei,10027,100049,Pyroclastic flow
211010,Campi Flegrei,10027,100050,Pumice
211010,Campi Flegrei,10028,100052,Explosion
211010,Campi Flegrei,10028,100053,Ash
211010,Campi Flegrei,10028,100054,Lapilli
211010,Campi Flegrei,10028,100055,Pyroclastic flow
211010,Campi Flegrei,10029,100057,Explosion
211010,Campi Flegrei,10029,100058,Ash
211010,Campi Flegrei,10029,100059,Lapilli
211010,Campi Flegrei,10029,100060,Pyroclastic flow
211010,Campi Flegrei,10029,100061,Pumice
263300,Semeru,10030,100063,Explosion
263300,Semeru,10030,100064,Lahar or mudflow
263300,Semeru,10031,100066,Explosion
263300,Semeru,10031,100067,Ash
263300,Semeru,10031,100068,Bombs
211010,Campi Flegrei,10037,100069,Ash
211010,Campi Flegrei,10037,100070,Scoria
211010,Campi Flegrei,10037,100071,Pyroclastic flow
211010,Campi Flegrei,10037,100072,Lava flow(s)
211010,Campi Flegrei,10037,100073,Lava dome formation
211010,Campi Flegrei,10037,100074,Pumice
211010,Campi Flegrei,10037,100075,Phreatomagmatic eruption
211010,Campi Flegrei,10038,100077,Explosion
211010,Campi Flegrei,10038,100078,Ash
211010,Campi Flegrei,10038,100079,Pyroclastic flow
211010,Campi Flegrei,10038,100080,Lava flow(s)
213020,Nemrut Dagi,10039,100081,Explosion
213020,Nemrut Dagi,10039,100082,Ash
211010,Campi Flegrei,10040,100084,Phreatic activity
211010,Campi Flegrei,10040,100085,Property damage
211010,Campi Flegrei,10040,100086,Earthquakes (undefined)
211010,Campi Flegrei,10040,100087,Blocks
211010,Campi Flegrei,10041,100089,Explosion
211010,Campi Flegrei,10041,100090,Ash
211010,Campi Flegrei,10041,100091,Scoria
211010,Campi Flegrei,10041,100092,Pyroclastic flow
211010,Campi Flegrei,10041,100093,Phreatic activity
211010,Campi Flegrei,10041,100094,Lava flow(s)
211010,Campi Flegrei,10041,100095,Lava lake
211010,Campi Flegrei,10041,100096,Property damage
211010,Campi Flegrei,10041,100097,Fatalities
211010,Campi Flegrei,10041,100098,Evacuations
211010,Campi Flegrei,10041,100099,Lava fountains
211010,Campi Flegrei,10041,100100,Cinder cone formation
211010,Campi Flegrei,10041,100101,Earthquakes (undefined)
211010,Campi Flegrei,10041,100102,Earthquakes (undefined)
211020,Vesuvius,10046,100103,Scoria
211020,Vesuvius,10046,100104,Pyroclastic flow
211020,Vesuvius,10046,100105,Pumice
211020,Vesuvius,10047,100107,Explosion
211020,Vesuvius,10047,100108,Ash
211020,Vesuvius,10047,100109,Lapilli
211020,Vesuvius,10047,100110,Scoria
211020,Vesuvius,10047,100111,Property damage
211020,Vesuvius,10047,100112,Lahar or mudflow
211020,Vesuvius,10047,100113,Pumice
211020,Vesuvius,10048,100115,Explosion
211020,Vesuvius,10048,100116,Pumice
211020,Vesuvius,10049,100118,Explosion
211020,Vesuvius,10049,100119,Ash
211020,Vesuvius,10049,100120,Lapilli
211020,Vesuvius,10049,100121,Scoria
211020,Vesuvius,10049,100122,Lahar or mudflow
211020,Vesuvius,10049,100123,Pumice
211020,Vesuvius,10050,100125,Explosion
211020,Vesuvius,10050,100126,Ash
211020,Vesuvius,10050,100127,Lapilli
211020,Vesuvius,10050,100128,Pyroclastic flow
211020,Vesuvius,10050,100129,Property damage
211020,Vesuvius,10050,100130,Fatalities
211020,Vesuvius,10050,100131,Lahar or mudflow
211020,Vesuvius,10050,100132,Tsunami
211020,Vesuvius,10050,100133,Caldera formation
211020,Vesuvius,10050,100134,Evacuations
211020,Vesuvius,10050,100135,Eruption cloud
211020,Vesuvius,10050,100136,Seismicity (volcanic)
332010,Kilauea,10060,100137,Blocks
332010,Kilauea,10061,100139,Ash
332010,Kilauea,10061,100140,Lapilli
332010,Kilauea,10061,100141,Lava flow(s)
332010,Kilauea,10061,100142,Lava fountains
332010,Kilauea,10061,100143,Pumice
332010,Kilauea,10062,100145,Phreatic activity
332010,Kilauea,10062,100146,Lava flow(s)
332010,Kilauea,10062,100147,Property damage
332010,Kilauea,10062,100148,Fatalities
332010,Kilauea,10062,100149,Blocks
332010,Kilauea,10062,100150,Lava flow(s)
332010,Kilauea,10063,100152,Lava flow(s)
332010,Kilauea,10063,100153,Lava lake
332010,Kilauea,10063,100154,Earthquakes (undefined)
332010,Kilauea,10063,100155,Partial collapse at end of eruption
332010,Kilauea,10064,100157,Lava flow(s)
332010,Kilauea,10064,100158,Earthquakes (undefined)
332010,Kilauea,10065,100160,Lava flow(s)
332010,Kilauea,10065,100161,Lava lake
332010,Kilauea,10065,100162,Property damage
332010,Kilauea,10065,100163,Lava flow(s)
332010,Kilauea,10065,100164,Partial collapse at end of eruption
332010,Kilauea,10066,100166,Explosion
332010,Kilauea,10066,100167,Scoria
332010,Kilauea,10066,100168,Lava flow(s)
332010,Kilauea,10066,100169,Earthquakes (undefined)
332010,Kilauea,10066,100170,Pumice
332010,Kilauea,10079,100171,Phreatic activity
332010,Kilauea,10079,100172,Fatalities
332010,Kilauea,10079,100173,Earthquakes (undefined)
332010,Kilauea,10079,100174,Blocks
332010,Kilauea,10079,100175,Partial collapse at end of eruption
332010,Kilauea,10080,100177,Lava flow(s)
332010,Kilauea,10081,100179,Lava flow(s)
332010,Kilauea,10081,100180,Lava lake
332010,Kilauea,10081,100181,Lava fountains
332010,Kilauea,10081,100182,Volcanic tremor
332010,Kilauea,10081,100183,Earthquakes (undefined)
332010,Kilauea,10082,100185,Debris avalanches
332010,Kilauea,10082,100186,Earthquakes (undefined)
